Burnaby Campus
+------+----------------------+--------+---------+--------+---------+
| Rank | Author               | Added  | Deleted | Actual | Commits |
+------+----------------------+--------+---------+--------+---------+
| 1    | sukhrajsandhar       | +55615 | -35113  | 20502  | 28      |
| 2    | Sydnethy             | +15223 | -331    | 14892  | 8       |
| 3    | RodrickVy            | +8501  | -165    | 8336   | 5       |
| 4    | calih33              | +4815  | -2056   | 2759   | 22      |
| 5    | 3levate              | +3941  | -915    | 3026   | 19      |
| 6    | arshiaadamian        | +3834  | -2250   | 1584   | 26      |
| 7    | knighthawk4227       | +3321  | -1558   | 1763   | 22      |
| 8    | Just-Iced            | +3226  | -2984   | 242    | 31      |
| 9    | ZihengZhaoJerry      | +3077  | -1630   | 1447   | 21      |
| 10   | SowinskiBraeden      | +3043  | -669    | 2374   | 16      |
| 11   | Jacob-Lebl-BCIT      | +2746  | -146    | 2600   | 12      |
| 12   | MeikoMei16           | +2374  | -1501   | 873    | 16      |
| 13   | TaylorHillier        | +2349  | -367    | 1982   | 15      |
| 14   | YehorSkudilov        | +2057  | -1100   | 957    | 26      |
| 15   | minkaze              | +1786  | -759    | 1027   | 11      |
| 16   | samuelpita           | +1769  | -1081   | 688    | 10      |
| 17   | luis-Saberon         | +1512  | -115    | 1397   | 10      |
| 18   | useluss-dev          | +1492  | -386    | 1106   | 12      |
| 19   | cubeo77              | +1372  | -438    | 934    | 12      |
| 20   | leeken3              | +1344  | -295    | 1049   | 7       |
| 21   | ffloras              | +1332  | -590    | 742    | 17      |
| 22   | justinxyu1128        | +1304  | -335    | 969    | 13      |
| 23   | chellJ               | +1067  | -296    | 771    | 12      |
| 24   | JoaquinPar           | +1063  | -729    | 334    | 17      |
| 25   | Esin580              | +1008  | -369    | 639    | 6       |
| 26   | Dartleader1          | +1005  | -453    | 552    | 22      |
| 27   | Tlpadilla18          | +956   | -226    | 730    | 6       |
| 28   | anajnsilva           | +952   | -102    | 850    | 12      |
| 29   | prabhguron           | +951   | -309    | 642    | 6       |
| 30   | dodaniel006          | +933   | -621    | 312    | 21      |
| 31   | WynnLe12             | +887   | -602    | 285    | 9       |
| 32   | Choyces              | +850   | -819    | 31     | 6       |
| 33   | trey1212             | +826   | -450    | 376    | 10      |
| 34   | Glonkz               | +807   | -273    | 534    | 12      |
| 35   | Abdullah-ALASMY      | +767   | -128    | 639    | 6       |
| 36   | cheecharoo           | +761   | -216    | 545    | 14      |
| 37   | ShivaunBartoo        | +671   | -180    | 491    | 7       |
| 38   | asingh866            | +663   | -196    | 467    | 7       |
| 39   | berenice0909         | +643   | -142    | 501    | 6       |
| 40   | sonboiii             | +620   | -88     | 532    | 7       |
| 41   | NazaninMM            | +601   | -118    | 483    | 7       |
| 42   | cnguyen50            | +592   | -215    | 377    | 17      |
| 43   | EquivocalBlaze       | +558   | -90     | 468    | 7       |
| 44   | Dash951              | +546   | -189    | 357    | 7       |
| 45   | Livjot-BCIT          | +537   | -1      | 536    | 2       |
| 46   | kakepe               | +528   | -34     | 494    | 2       |
| 47   | TirathJaggee         | +518   | -143    | 375    | 7       |
| 48   | isabjc               | +508   | -37     | 471    | 6       |
