+------+-----------------------+--------+---------+--------+---------+
| Rank | Author                | Added  | Deleted | Actual | Commits |
+------+-----------------------+--------+---------+--------+---------+
| 1    | sukhrajsandhar        | +55615 | -35113  | 20502  | 28      |
| 2    | andacg1               | +28368 | -4778   | 23590  | 44      |
| 3    | Sydnethy              | +15223 | -331    | 14892  | 8       |
| 4    | RodrickVy             | +8501  | -165    | 8336   | 5       |
| 5    | calih33               | +4815  | -2056   | 2759   | 22      |
| 6    | 3levate               | +3941  | -915    | 3026   | 19      |
| 7    | arshiaadamian         | +3834  | -2250   | 1584   | 26      |
| 8    | knighthawk4227        | +3321  | -1558   | 1763   | 22      |
| 9    | snoopryees            | +3306  | -1660   | 1646   | 14      |
| 10   | Just-Iced             | +3226  | -2984   | 242    | 31      |
| 11   | ZihengZhaoJerry       | +3077  | -1630   | 1447   | 21      |
| 12   | SowinskiBraeden       | +3043  | -669    | 2374   | 16      |
| 13   | Jacob-Lebl-BCIT       | +2746  | -146    | 2600   | 12      |
| 14   | tushitgrg             | +2700  | -622    | 2078   | 17      |
| 15   | MeikoMei16            | +2374  | -1501   | 873    | 16      |
| 16   | TaylorHillier         | +2349  | -367    | 1982   | 15      |
| 17   | MasonYoung24          | +2280  | -1356   | 924    | 54      |
| 18   | lechiben              | +2155  | -1109   | 1046   | 17      |
| 19   | YehorSkudilov         | +2057  | -1100   | 957    | 26      |
| 20   | senukzzzzz            | +1822  | -372    | 1450   | 7       |
| 21   | the-scholiast         | +1809  | -1098   | 711    | 24      |
| 22   | minkaze               | +1786  | -759    | 1027   | 11      |
| 23   | samuelpita            | +1769  | -1081   | 688    | 10      |
| 24   | ttrinh0               | +1766  | -369    | 1397   | 30      |
| 25   | CCY-0124              | +1657  | -239    | 1418   | 18      |
| 26   | luis-Saberon          | +1512  | -115    | 1397   | 10      |
| 27   | useluss-dev           | +1492  | -386    | 1106   | 12      |
| 28   | gurpreetsingh9414     | +1441  | -711    | 730    | 10      |
| 29   | cubeo77               | +1372  | -438    | 934    | 12      |
| 30   | leeken3               | +1344  | -295    | 1049   | 7       |
| 31   | ffloras               | +1332  | -590    | 742    | 17      |
| 32   | justinxyu1128         | +1304  | -335    | 969    | 13      |
| 33   | dcao1205              | +1159  | -580    | 579    | 11      |
| 34   | go-gitbread           | +1126  | -864    | 262    | 26      |
| 35   | chellJ                | +1067  | -296    | 771    | 12      |
| 36   | JoaquinPar            | +1063  | -729    | 334    | 17      |
| 37   | Esin580               | +1008  | -369    | 639    | 6       |
| 38   | Dartleader1           | +1005  | -453    | 552    | 22      |
| 39   | Tlpadilla18           | +956   | -226    | 730    | 6       |
| 40   | anajnsilva            | +952   | -102    | 850    | 12      |
| 41   | prabhguron            | +951   | -309    | 642    | 6       |
| 42   | dodaniel006           | +933   | -621    | 312    | 21      |
| 43   | WynnLe12              | +887   | -602    | 285    | 9       |
| 44   | wandereryiu           | +853   | -465    | 388    | 13      |
| 45   | Choyces               | +850   | -819    | 31     | 6       |
| 46   | trey1212              | +826   | -450    | 376    | 10      |
| 47   | asazinator            | +819   | -190    | 629    | 9       |
| 48   | Glonkz                | +807   | -273    | 534    | 12      |
